ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2012-02-05,-78.03017316,-291.25782455365515,-161.14256430074414,-78.03017316,-78.03017316,-148.28681259572912,-148.28681259572912,-148.28681259572912,-223.96201496897,-223.96201496897,-223.96201496897,75.67520237324091,75.67520237324091,75.67520237324091,0.0,0.0,0.0,-226.31698575572912
2012-03-12,-82.12773645080256,-55.95906908063233,69.56670127999858,-82.12773645080256,-82.12773645080256,88.43094110691682,88.43094110691682,88.43094110691682,107.96022334929951,107.96022334929951,107.96022334929951,-19.52928224238269,-19.52928224238269,-19.52928224238269,0.0,0.0,0.0,6.303204656114261
2012-07-17,-96.58302917113376,-140.98166564136756,-6.921292509479221,-96.58302917113376,-96.58302917113376,21.723816535825268,21.723816535825268,21.723816535825268,105.19584429237611,105.19584429237611,105.19584429237611,-83.47202775655084,-83.47202775655084,-83.47202775655084,0.0,0.0,0.0,-74.8592126353085
2012-08-10,-99.3147380316688,-213.30398719549078,-78.40081261374596,-99.3147380316688,-99.3147380316688,-44.027466521502284,-44.027466521502284,-44.027466521502284,64.1356391330819,64.1356391330819,64.1356391330819,-108.16310565458419,-108.16310565458419,-108.16310565458419,0.0,0.0,0.0,-143.3422045531711
2012-08-15,-99.88384404428025,-183.737261479251,-49.11634317345879,-99.88384404428025,-99.88384404428025,-11.55407990793436,-11.55407990793436,-11.55407990793436,82.90704445189428,82.90704445189428,82.90704445189428,-94.46112435982864,-94.46112435982864,-94.46112435982864,0.0,0.0,0.0,-111.43792395221462
2012-08-22,-100.68059246193631,-173.8633463087778,-36.945897006321374,-100.68059246193631,-100.68059246193631,-5.607606183543216,-5.607606183543216,-5.607606183543216,82.90704445187353,82.90704445187353,82.90704445187353,-88.51465063541676,-88.51465063541676,-88.51465063541676,0.0,0.0,0.0,-106.28819864547953
2012-09-03,-102.04644689220383,-202.68763240500627,-71.68474308089529,-102.04644689220383,-102.04644689220383,-34.6332703299834,-34.6332703299834,-34.6332703299834,107.96022334991193,107.96022334991193,107.96022334991193,-142.59349367989535,-142.59349367989535,-142.59349367989535,0.0,0.0,0.0,-136.67971722218724
2012-09-21,-104.0952285376051,-173.97351445154092,-37.630291617609366,-104.0952285376051,-104.0952285376051,-0.5409497250620667,-0.5409497250620667,-0.5409497250620667,64.13563913338439,64.13563913338439,64.13563913338439,-64.67658885844645,-64.67658885844645,-64.67658885844645,0.0,0.0,0.0,-104.63617826266716
2012-10-01,-105.23344056282802,28.207389327504778,163.1954889272649,-105.23344056282802,-105.23344056282802,201.4154097848954,201.4154097848954,201.4154097848954,107.96022334917163,107.96022334917163,107.96022334917163,93.45518643572376,93.45518643572376,93.45518643572376,0.0,0.0,0.0,96.18196922206737
2012-10-02,-105.34726176535034,41.475702912004515,171.40237592356246,-105.34726176535034,-105.34726176535034,211.37876495263188,211.37876495263188,211.37876495263188,105.19584429259295,105.19584429259295,105.19584429259295,106.18292066003893,106.18292066003893,106.18292066003893,0.0,0.0,0.0,106.03150318728154
2012-10-15,-106.82693739814013,97.14834176789513,225.48877178243606,-106.82693739814013,-106.82693739814013,265.5272910238691,265.5272910238691,265.5272910238691,107.96022334958245,107.96022334958245,107.96022334958245,157.56706767428668,157.56706767428668,157.56706767428668,0.0,0.0,0.0,158.70035362572898
2012-10-18,-107.03621461076943,62.67984290070765,193.9027279061072,-107.03621461076943,-107.03621461076943,236.65856539830446,236.65856539830446,236.65856539830446,89.54550811788472,89.54550811788472,89.54550811788472,147.11305728041975,147.11305728041975,147.11305728041975,0.0,0.0,0.0,129.62235078753503
2012-10-23,-107.3850099651516,63.24404160090344,190.5377318567186,-107.3850099651516,-107.3850099651516,233.78533214959796,233.78533214959796,233.78533214959796,105.19584429259369,105.19584429259369,105.19584429259369,128.5894878570043,128.5894878570043,128.5894878570043,0.0,0.0,0.0,126.40032218444637
